"STATE","Total_households","Pct_BUILT_BEFORE_1950","Pct_BUILT_1950S","Pct_BUILT_1960S","Pct_BUILT_1970S","Pct_BUILT_1980S","Pct_BUILT_1990S","Pct_BUILT_2000S","Pct_BUILT_2010_2015","Pct_BUILT_2016_2020","BUILT_BEFORE_1950","BUILT_1950S","BUILT_1960S","BUILT_1970S","BUILT_1980S","BUILT_1990S","BUILT_2000S","BUILT_2010_2015","BUILT_2016_2020"
Rhode Island,418688.99999965,31.92,11.54,10.39,17.82,14.09,6,5.17,1.7,1.37,133645.9153604,48329.2733305,43505.264461,74603.15953,58973.8285659,25134.9963949,21640.13071295,7099.9627666,5756.4688774
New York,7521119.9999968,36.7,16.32,11.26,9.73,8.14,7.95,5.26,2.7,1.93,2760490.7479416,1227792.3480705,846603.5332764,732072.8890783,612310.96954,598073.7254998,395401.9780192,202993.5118357,145380.2967353
Connecticut,1381897.0000001,28,14.54,12.23,13.65,12.78,8.39,6.19,2.37,1.85,386991.2295419,200961.592892,168987.8786653,188571.4881467,176556.0307606,116006.5839647,85520.1359666,32700.4679293,25601.592133
Massachusetts,2713777.9999996,35.75,11.17,10.78,11.81,11.62,7.15,6.5,2.71,2.49,970205.7256157,303194.3520516,292516.3449226,320606.1310601,315399.6953929,194129.5892119,176443.2849002,73649.4639991,67633.4128455
New Jersey,3393982.9999994,25.71,12.05,16.02,12.16,11.43,10.77,8.3,2.24,1.32,872680.2346313,409038.9711758,543630.7603559,412757.7386461,387992.2347646,365644.9441337,281539.7911025,76032.123665,44666.2015245
District of Columbia,316453.00000046,42.53,12.85,10.16,5.43,4.32,5.12,8.69,6.75,4.15,134575.23519339,40669.0719501,32139.54566918,17193.93566963,13683.93479566,16207.49461313,27511.6264821,21345.01215407,13127.1434732
Hawaii,474377.99999987,7.73,7.98,17.22,20.94,12.82,18.26,8.78,4.32,1.96,36687.6181172,37836.6532803,81676.27341073,99314.93237015,60815.2599012,86609.05535272,41649.52203663,20501.93413833,9286.75139261
Pennsylvania,5128399.9999964,32.5,14.13,11.21,13.5,8.74,6.47,8.81,2.74,1.9,1666693.6950179,724630.5149701,574816.8410188,692320.0822595,448301.2004154,332031.1696169,451869.4048787,140300.4163873,97436.6754318
Michigan,3918917.0000019,20,14.21,12.92,15.63,10.18,15.26,8.86,1.29,1.66,783893.4239267,556991.5864938,506181.7946952,612337.8700202,398992.6922062,597933.2243476,347048.8483068,50447.0895645,65090.4704409
Montana,433329.0000007,15.14,7.86,7.46,19.76,9.73,15.2,9.59,8.7,6.57,65603.9137144,34063.4309668,32316.7793624,85605.1622383,42150.4148169,65879.2961332,41538.7098462,37703.6814233,28467.6114992
Nebraska,765200.9999992,21.86,12.21,8.15,16.48,11.51,11.73,9.71,5.24,3.11,167254.988247,93442.8043314,62386.1193586,126092.251079,88041.337952,89761.5095568,74332.1034272,40103.2053599,23786.6806873
New Hampshire,538443.0000002,25.12,6.86,6.95,16.91,17.6,11.89,9.86,2.04,2.77,135249.1694067,36951.241329,37443.3974755,91071.9781803,94746.2284377,64022.1335538,53090.0891981,10979.5110864,14889.2513327
Wyoming,226146.00000045,16.28,12.76,9.21,25.35,13.23,7.45,9.93,2.98,2.82,36808.4810423,28857.6674615,20817.72224745,57317.12329792,29911.39031259,16854.61998269,22463.70965206,6739.05670085,6376.22930309
Ohio,4739000.9999868,24.44,12.44,11.39,13.66,11.42,10.53,10.47,3.18,2.47,1158229.8521613,589660.146066,539827.9115189,647135.3328585,541230.9397038,499005.4933924,496210.1376068,150666.7765987,117034.4100804
Minnesota,2229782.9999991,19.93,8.76,9.82,16.08,10.68,15.98,10.65,5.29,2.8,444441.4765178,195358.8263662,219062.7483643,358628.3275396,238170.8068435,356340.3842848,237553.2803815,117850.3680841,62376.7816173
Wisconsin,2388876.0000004,22.91,12.76,8.56,17.03,8.3,14.76,10.73,2.44,2.51,547316.0877808,304761.77964,204578.5970156,406733.2815355,198373.1906845,352617.2910616,256207.5248078,58402.7381149,59885.5093597
Vermont,258824.0000003,27.8,8.98,6.83,15.59,14.4,11.65,10.77,1.79,2.19,71965.57631442,23233.44544661,17677.11407248,40346.19774502,37281.09124974,30149.39180141,27871.58032151,4641.84032795,5657.76272116
Illinois,4900521.0000008,25.3,13.24,11.12,13.82,8.2,12.9,10.81,1.93,2.68,1239948.7394065,649000.0021068,544722.2282273,677255.678449,401712.8014649,632117.9546306,529866.375331,94394.8921883,131502.3281964
Maryland,2281334.9999995,12.41,11.42,13.71,12.6,20.03,14.53,10.92,2.98,1.41,283059.5059955,260597.1824247,312674.111514,287427.9177156,456927.7349701,331479.2539136,249103.877443,67909.7417843,32155.6742387
California,13180885.9999957,14.08,13.37,12.69,17.58,15.58,10.9,11.07,2.75,1.97,1855878.1436408,1762260.4817089,1672185.1395136,2317591.5949997,2053853.3222028,1436696.0370384,1459350.4957922,362766.8879581,260303.8971412
Oregon,1654154.0000003,14.17,8.61,12.46,17.27,10.89,16.58,11.34,4.77,3.93,234399.0596095,142439.5836341,206075.5382953,285627.8082696,180079.0282727,274178.3025784,187507.2594249,78871.2776114,64976.1423044
Kentucky,1738263.0002599,10.52,8.37,13.23,17.8,13.08,15.82,11.86,6.01,3.3,182934.1330826,145515.3409069,229979.5891206,309397.4327075,227377.9835141,275046.9859685,206169.1561095,104501.8718796,57340.5069706
Iowa,1281948.0000002,29.39,11.56,10.18,15.49,8.59,8.85,11.87,2.41,1.65,376800.6307361,148203.5846872,130550.0908547,198600.0085553,110158.6330824,113497.335385,152153.1467431,30849.5867326,21134.9832238
Indiana,2599596.9999959,22.96,9.28,9.49,15.26,9.52,14.07,12.27,3.26,3.9,596980.3041458,241184.6448053,246682.7237246,396724.958879,247376.8097495,365725.3909665,318955.1570741,84659.6991416,101307.3115095
North Dakota,315572.99999964,15.77,5.92,9.41,20.81,9.01,10.66,12.34,11.89,4.2,49753.2933293,18694.89090278,29685.03080274,65660.53083031,28430.574456,33628.97622985,38933.70887267,37519.3809573,13266.61361869
Missouri,2429812.9999985,19.92,9.26,11.41,12.03,12.8,13.44,12.37,5.53,3.25,483941.4130631,225121.787927,277261.5210637,292269.7089802,310979.0979067,326555.177958,300531.1867729,134258.3306396,78894.7756873
West Virginia,696161.0000002,16.34,13.46,7.36,19.68,14.11,10.72,12.37,4.13,1.82,113781.8654752,93711.3146439,51228.8367494,137034.2184246,98257.6516225,74647.8582148,86110.6354628,28743.5742689,12645.0451381
South Dakota,346424.99999969,15.19,7.22,7.53,19.43,8.86,11.01,12.86,7.14,10.74,52619.8808963,24999.7071876,26098.0721509,67322.0769123,30707.8674699,38148.5165351,44558.33549959,24747.4217616,37223.1215864
Kansas,1127072.0000002,18.8,11.33,9.88,17.6,10.24,13.66,13.63,3.49,1.38,211922.6710402,127710.0758857,111328.1648843,198322.0492222,115380.4672903,153926.6096462,153605.34189,39373.4163017,15503.2038396
Washington,2939032.0000032,16.87,6.27,10.08,15.43,8.7,16.48,13.79,6.08,6.29,495878.8502383,184276.0296521,296310.55338,453541.7152453,255792.8932455,484244.5386437,405280.6592374,178715.0149986,184991.7453623
Virginia,3242013.9999995,11.04,9.74,10.98,12.36,17.78,17.63,14.01,3.55,2.92,357765.908391,315663.4533374,355915.2294744,400779.0310777,576327.247475,571612.5201098,454167.315553,115107.1247107,94676.1698705
Oklahoma,1492833.0000003,8.13,13.57,12.58,16.68,12.27,13.15,14.24,5.09,4.3,121404.7644499,202512.7169695,187779.3228872,248949.7295068,183119.8687497,196360.9441998,212544.0323596,75933.6654993,64227.9553785
Alabama,1900406.0001634,10.25,8.87,11.28,14.23,15.11,14.92,14.5,8.08,2.76,194744.5480249,168656.3104926,214332.7002499,270446.4679665,287130.3367806,283528.5965785,275621.6892445,153538.0942614,52407.2565645
Arkansas,1143631.9999998,9.63,6.72,14.03,17.57,16.22,12.78,14.72,4.81,3.52,110167.1488194,76887.5164579,160431.6201573,200964.0955146,185465.4452302,146123.4589271,168352.4453611,54974.5866718,40265.6828604
Tennessee,2657514.0002771,10.17,8.45,8.89,15.59,14.01,17.69,14.72,5.87,4.6,270239.5809378,224465.6661226,236211.261395,414300.181875,372412.9700967,470230.4994428,391314.0133291,155990.7614134,122349.0656647
Maine,564534.9999994,26.71,8.22,6.46,11.47,12.55,13.35,14.9,2.53,3.79,150804.5303248,46408.8355046,36492.6977396,64776.2684992,70860.9075735,75358.1528218,84109.6335893,14301.3875831,21422.5863635
Colorado,2259860.9999997,10.12,7.38,8.26,15.92,15.79,17.09,15.38,4.84,5.21,228698.1046225,166851.8153565,186772.1021276,359767.5700323,356921.8355147,386195.8204848,347516.0492333,109314.7733896,117822.9292384
Louisiana,1727225.9999995,13.8,7.17,10.67,18.33,9.98,14.07,15.58,8.24,2.15,238380.8589089,123839.708351,184209.7955076,316658.2295901,172433.375948,243075.1012622,269152.2192014,142340.3150307,37136.3961996
Alaska,257192.99999983,3.62,5.4,6.45,23.3,25.18,10.84,16.49,6.45,2.27,9307.50592469,13900.69097504,16590.90007994,59931.23504334,64758.27194135,27885.83696438,42404.52614866,16587.54466419,5826.48825824
Texas,10255403.0000072,5.47,6.78,7.87,14.1,16.79,15.1,17.66,8.74,7.5,561150.8949768,695058.9292611,806686.8418246,1446260.9332606,1721642.4897549,1548320.80429,1811118.9025733,895811.9314044,769351.2726615
New Mexico,787053.0000001,2.54,8.56,8.11,20.88,15.24,19.38,17.71,4.52,3.05,20009.8823826,67344.9980218,63844.0865013,164348.025046,119952.7976281,152545.5638884,139391.2079005,35581.2056957,24035.2329357
Florida,8062163.9999996,4.15,5.12,7.24,19.95,17.12,18.06,17.92,5.04,5.4,334184.3281457,412554.6424755,583963.3923942,1608432.8308877,1380287.6900112,1456305.7756677,1444592.5953422,406705.1243108,435137.6207646
Delaware,380453.9999999,10.05,10.54,7.57,10.76,10.09,18.53,18.51,5.29,8.65,38230.3448014,40106.8611673,28808.7780629,40954.2288914,38387.214399,70495.0223008,70417.7290623,20140.2836693,32913.5376455
Georgia,3881405.0000088,7.49,6.6,8.68,10.91,16.11,18.75,18.81,6.15,6.49,290615.2555667,256287.7756757,337049.6438161,423452.720937,625359.5736224,727886.4338925,730104.2795302,238797.2212737,251852.0956945
North Carolina,4012738.9999972,8.84,7.1,8.43,10.65,15.87,19.25,18.81,6.77,4.27,354884.1224095,285054.1107568,338401.2214043,427501.765451,636935.1062923,772367.539239,754845.4290018,271543.6580259,171206.0474166
South Carolina,1970536,4.64,6.75,10.67,12.03,14.87,16.5,18.82,8.13,7.58,91493.7983957,132954.9131467,210326.3234998,237009.2149269,293109.6289226,325229.1684537,370839.8829762,160162.3690699,149410.7006085
Idaho,656511.0000001,10.6,6.23,5.63,18.33,6.9,19.16,19.45,6.09,7.61,69560.1858378,40886.1705856,36965.4370187,120349.7355865,45313.4694367,125810.4413384,127672.7332688,39974.5587798,49978.2681478
Mississippi,1084534.0000645,4.62,6.9,7.28,16.62,15.57,22.33,20.3,2.43,3.96,50073.4770952,74800.1447081,78950.4158554,180234.3900428,168820.1048461,242169.9904389,220199.826511,26344.5669097,42941.0836573
Utah,1039997.0000007,7.66,6.69,7.24,14.58,10.23,16.57,20.63,8.16,8.23,79695.5554741,69587.7679738,75312.5490531,151672.5370669,106400.5462676,172352.2073518,214526.7815857,84850.4179225,85598.6373052
Arizona,2675608.0000025,3.13,5.26,7.6,16.32,17.03,19.73,22.1,4.38,4.44,83873.6391891,140690.0988188,203285.9768315,436760.3569136,455657.744893,528023.7965916,591239.3528215,117251.5340902,118825.4998532
Nevada,1139409.0000005,4.44,3.98,4.77,10.24,15.46,25.33,23.68,6.36,5.74,50636.3795731,45353.2776419,54384.7806921,116730.8420421,176106.8076823,288586.2374801,269762.2947278,72483.1796693,65365.2004918
